# Printing path from GOAL to SOURCE
# Time elapsed by A* Algorithm 6.782010s 
# Time elapsed reading binary file 0.615873s
# Total time elapsed 8.249165s
# Iteration | Node Id | Distance | latitude | long
 198 |  248733740 | 952617.69 | 37.439193 | -5.963612
 199 |  554191705 | 952580.02 | 37.439484 | -5.963394
 200 |  248733739 | 952368.67 | 37.441115 | -5.962170
 201 |  248733738 | 952335.59 | 37.441353 | -5.961947
 202 |  248733737 | 952280.97 | 37.441742 | -5.961569
 203 |  248733199 | 952236.93 | 37.442035 | -5.961235
 204 |  248733198 | 952157.99 | 37.442560 | -5.960634
 205 |  248733197 | 952093.48 | 37.442996 | -5.960153
 206 |  248733200 | 952049.76 | 37.443302 | -5.959844
 207 |  248733167 | 951999.33 | 37.443623 | -5.959441
 208 |  248733166 | 951971.42 | 37.443807 | -5.959226
 209 |  248733165 | 951832.44 | 37.444767 | -5.958222
 210 |  248733164 | 951765.31 | 37.445265 | -5.957793
 211 |  248733163 | 951705.74 | 37.445721 | -5.957441
 212 |  248733162 | 951670.79 | 37.446001 | -5.957261
 213 |  248733161 | 951563.87 | 37.446894 | -5.956814
 214 |  248732710 | 951179.44 | 37.450117 | -5.955252
 215 |  248730949 | 951034.00 | 37.451336 | -5.954662
 216 |  248732709 | 951006.32 | 37.451568 | -5.954548
 217 |  248732708 | 950915.59 | 37.452317 | -5.954145
 218 |  248732707 | 950824.65 | 37.453040 | -5.953664
 219 |  248732706 | 950775.62 | 37.453415 | -5.953373
 220 |  248732705 | 950750.35 | 37.453585 | -5.953184
 221 |  248732704 | 950717.73 | 37.453755 | -5.952883
 222 |  248732703 | 950681.95 | 37.453926 | -5.952540
 223 |  890594563 | 950591.13 | 37.454379 | -5.951686
 224 |  248732702 | 950514.09 | 37.454764 | -5.950961
 225 |  248732701 | 950396.09 | 37.455520 | -5.950025
 226 |  248732700 | 950204.29 | 37.456808 | -5.948583
 227 |  890589535 | 950180.61 | 37.456993 | -5.948452
 228 |  248732699 | 950144.16 | 37.457251 | -5.948197
 229 |  248732698 | 949865.35 | 37.459369 | -5.946515
 230 |  248732697 | 949824.53 | 37.459669 | -5.946249
 231 |  248732696 | 949799.31 | 37.459826 | -5.946043
 232 |  248732695 | 949761.71 | 37.460051 | -5.945725
 233 |  248732694 | 949686.25 | 37.460480 | -5.945064
 234 |  248732693 | 949643.61 | 37.460718 | -5.944687
 235 |  248732692 | 949610.21 | 37.460950 | -5.944446
 236 |  248732691 | 949572.74 | 37.461223 | -5.944197
 237 |  248732690 | 949518.63 | 37.461638 | -5.943880
 238 |  248732689 | 949246.75 | 37.463709 | -5.942249
 239 |  248732688 | 949014.43 | 37.465481 | -5.940859
 240 |  248732687 | 948800.51 | 37.467095 | -5.939545
 241 |  248732686 | 948627.10 | 37.468362 | -5.938404
 242 |  248732685 | 948425.99 | 37.469813 | -5.937048
 243 |  248732684 | 948215.65 | 37.471345 | -5.935654
 244 |  248968492 | 948176.57 | 37.471637 | -5.935409
