# Printing path from GOAL to SOURCE
# Time elapsed by A* Algorithm 847.788223s 
# Time elapsed reading binary file 0.725454s
# Total time elapsed 849.393078s
# Iteration | Node Id | Distance | latitude | long
 324 |  243997668 |   0.00 | 37.586111 | -5.699292
 325 |  982839075 |   0.00 | 37.585325 | -5.671420
 326 |  982838794 |   0.00 | 37.585307 | -5.670646
 327 |  243997667 |   0.00 | 37.585143 | -5.664491
 328 |  243997666 |   0.00 | 37.585177 | -5.661728
 329 |  243997665 |   0.00 | 37.585347 | -5.658638
 330 |  243997664 |   0.00 | 37.585707 | -5.655582
 331 |  243997663 |   0.00 | 37.586197 | -5.652801
 332 |  243997662 |   0.00 | 37.586694 | -5.650552
 333 |  243997661 |   0.00 | 37.587367 | -5.647995
 334 |  243997660 |   0.00 | 37.588224 | -5.645394
 335 |  243997659 |   0.00 | 37.589203 | -5.642819
 336 |  243997658 |   0.00 | 37.590264 | -5.640424
 337 |  982827253 |   0.00 | 37.590733 | -5.639568
 338 |  982827614 |   0.00 | 37.591058 | -5.638919
 339 |  243997657 |   0.00 | 37.591454 | -5.638124
 340 | 1254086122 |   0.00 | 37.605766 | -5.613532
 341 | 1254086138 |   0.00 | 37.605964 | -5.613192
 342 |  243997656 |   0.00 | 37.608652 | -5.608573
 343 |  307516138 |   0.00 | 37.610411 | -5.605770
 344 |  307516137 |   0.00 | 37.613090 | -5.602297
 345 |  307516136 |   0.00 | 37.615561 | -5.599712
 346 | 1418201147 |   0.00 | 37.618165 | -5.597214
 347 | 1418201171 |   0.00 | 37.618441 | -5.596950
 348 | 1418201254 |   0.00 | 37.619763 | -5.595685
 349 |  307516135 |   0.00 | 37.620849 | -5.594646
 350 |  307516134 |   0.00 | 37.624046 | -5.591623
 351 |  307516133 |   0.00 | 37.627026 | -5.588394
 352 |  307516132 |   0.00 | 37.629561 | -5.585030
 353 |  307516131 |   0.00 | 37.631510 | -5.582025
 354 |  307516130 |   0.00 | 37.633685 | -5.578163
 355 |  307516129 |   0.00 | 37.635640 | -5.573613
 356 |  307516128 |   0.00 | 37.638375 | -5.567026
 357 |  307516127 |   0.00 | 37.639878 | -5.564117
 358 |  307516126 |   0.00 | 37.641238 | -5.562057
 359 |  307516125 |   0.00 | 37.643141 | -5.559568
 360 |  307515974 |   0.00 | 37.644432 | -5.558280
 361 |  307515973 |   0.00 | 37.647014 | -5.555963
 362 |  307515972 |   0.00 | 37.649733 | -5.554075
 363 |  307515971 |   0.00 | 37.651840 | -5.552616
 364 |  307515970 |   0.00 | 37.654965 | -5.550556
